Kod;Nazwa;ludność;
1427000;Powiat sierpecki;48639;
1428000;Powiat sochaczewski;83333;
1429000;Powiat sokołowski;50618;
1430000;Powiat szydłowiecki;37791;
1432000;Powiat warszawski zachodni;133217;
1433000;Powiat węgrowski;62271;
1434000;Powiat wołomiński;273411;
1435000;Powiat wyszkowski;73562;
1436000;Powiat zwoleński;34535;
1437000;Powiat żuromiński;35882;
1438000;Powiat żyrardowski;75414;
1461000;Powiat m. Ostrołęka;48712;
1462000;Powiat m. Płock;112483;
1463000;Powiat m. Radom;197848;
1464000;Powiat m. Siedlce;75623;
1465000;Powiat m. st. Warszawa;1861975;
1600000;OPOLSKIE;942441;
1601000;Powiat brzeski;86730;
1602000;Powiat głubczycki;43065;
1603000;Powiat kędzierzyńsko-kozielski;87011;
1604000;Powiat kluczborski;61714;
1605000;Powiat krapkowicki;59963;
1606000;Powiat namysłowski;42155;
1607000;Powiat nyski;129353;
1608000;Powiat oleski;61662;
1609000;Powiat opolski;120762;
1610000;Powiat prudnicki;51910;
1611000;Powiat strzelecki;71658;
1661000;Powiat m. Opole;126458;
1800000;PODKARPACKIE;2079098;
1801000;Powiat bieszczadzki;20777;
1802000;Powiat brzozowski;63591;
1803000;Powiat dębicki;132873;
1804000;Powiat jarosławski;116458;
1805000;Powiat jasielski;109582;
1806000;Powiat kolbuszowski;61389;
1807000;Powiat krośnieński;109122;
1808000;Powiat leżajski;67015;
1809000;Powiat lubaczowski;52983;
1810000;Powiat łańcucki;80802;
1811000;Powiat mielecki;133320;
1812000;Powiat niżański;64057;
1813000;Powiat przemyski;71393;
1814000;Powiat przeworski;76094;
1815000;Powiat ropczycko-sędziszowski;74066;
1816000;Powiat rzeszowski;174805;
1817000;Powiat sanocki;90294;
1818000;Powiat stalowowolski;101637;
1819000;Powiat strzyżowski;59514;
1820000;Powiat tarnobrzeski;51300;
1821000;Powiat leski;25565;
1861000;Powiat m. Krosno;44322;
1862000;Powiat m. Przemyśl;56802;
1863000;Powiat m. Rzeszów;197181;
1864000;Powiat m. Tarnobrzeg;44156;
2000000;PODLASKIE;1143355;
2001000;Powiat augustowski;54917;
2002000;Powiat białostocki;156370;
2003000;Powiat bielski;51151;
2004000;Powiat grajewski;44724;
2005000;Powiat hajnowski;39427;
2006000;Powiat kolneński;35921;
2007000;Powiat łomżyński;49711;
2008000;Powiat moniecki;37732;
2009000;Powiat sejneński;18802;
2010000;Powiat siemiatycki;41114;
2011000;Powiat sokólski;62063;
2012000;Powiat suwalski;34778;
2013000;Powiat wysokomazowiecki;53842;
2014000;Powiat zambrowski;41550;
2061000;Powiat m. Białystok;292600;
2062000;Powiat m. Łomża;60128;
2063000;Powiat m. Suwałki;68525;
2200000;POMORSKIE;2358307;
2201000;Powiat bytowski;76715;
2202000;Powiat chojnicki;96218;
2203000;Powiat człuchowski;53558;
2204000;Powiat gdański;129983;
2205000;Powiat kartuski;151934;
2206000;Powiat kościerski;72227;
2207000;Powiat kwidzyński;80636;
2208000;Powiat lęborski;63900;
